state,district,year,murder
ANDHRA PRADESH,RANGA REDDY,2001,214
ANDHRA PRADESH,VIJAYAWADA,2001,53
ANDHRA PRADESH,WARANGAL,2001,158
ARUNACHAL PRADESH,CHANGLANG,2001,11
ARUNACHAL PRADESH,PAPUM PARE,2001,11
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,8
ASSAM,BARPETA,2001,64
ASSAM,DHUBRI,2001,65
ASSAM,NAGAON,2001,95
ASSAM,NALBARI,2001,79
ASSAM,R.P.O.,2001,11
BIHAR,GOPALGANJ,2001,107
BIHAR,JEHANABAD,2001,73
BIHAR,KHAGARIA,2001,72
CHHATTISGARH,JAGDALPUR,2001,80
CHHATTISGARH,KAWARDHA,2001,19
GUJARAT,AMRELI,2001,41
GUJARAT,JAMNAGAR,2001,48
GUJARAT,JUNAGADH,2001,56
GUJARAT,NAVSARI,2001,26
GUJARAT,PALANPUR,2001,52
GUJARAT,PATAN,2001,24
GUJARAT,VALSAD,2001,44
JAMMU & KASHMIR,BARAMULLA,2001,144
JAMMU & KASHMIR,BUDGAM,2001,78
JAMMU & KASHMIR,GANDERBAL,2001,24
JAMMU & KASHMIR,KUPWARA,2001,141
JAMMU & KASHMIR,UDHAMPUR,2001,21
JHARKHAND,DHANBAD,2001,97
JHARKHAND,LATEHAR,2001,54
KARNATAKA,BAGALKOT,2001,59
KARNATAKA,CHICKMAGALUR,2001,41
KARNATAKA,DAVANAGERE,2001,58
KARNATAKA,K.G.F.,2001,20
KARNATAKA,SHIMOGA,2001,56
KERALA,CBCID,2001,22
KERALA,ERNAKULAM,2001,44
KERALA,KOTTAYAM,2001,34
KERALA,KOZHIKODE,2001,34
MADHYA PRADESH,GUNA,2001,71
MADHYA PRADESH,INDORE RLY.,2001,6
MADHYA PRADESH,JABALPUR,2001,103
MADHYA PRADESH,KATNI,2001,51
MADHYA PRADESH,KHANDWA,2001,41
MADHYA PRADESH,RATLAM,2001,58
MADHYA PRADESH,SHEOPUR,2001,24
MADHYA PRADESH,SHIVPURI,2001,88
MADHYA PRADESH,UJJAIN,2001,84
MAHARASHTRA,AKOLA,2001,64
MAHARASHTRA,AMRAVATI COMMR.,2001,44
MAHARASHTRA,MUMBAI,2001,295
MAHARASHTRA,NAGPUR RLY.,2001,12
MAHARASHTRA,NAGPUR RURAL,2001,101
MAHARASHTRA,NANDURBAR,2001,44
MAHARASHTRA,SOLAPUR COMMR.,2001,30
MAHARASHTRA,THANE COMMR.,2001,133
MAHARASHTRA,WARDHA,2001,60
MANIPUR,SENAPATI,2001,27
MEGHALAYA,KHASI HILLS EAST,2001,50
NAGALAND,WOKHA,2001,12
PUNJAB,LUDHIANA,2001,74
PUNJAB,SANGRUR,2001,46
RAJASTHAN,BANSWARA,2001,40
RAJASTHAN,BUNDI,2001,33
RAJASTHAN,DUNGARPUR,2001,31
RAJASTHAN,KOTA,2001,58
TAMIL NADU,ERODE,2001,63
UTTAR PRADESH,ALIGARH,2001,229
UTTAR PRADESH,ALLAHABAD,2001,167
UTTAR PRADESH,AZAMGARH,2001,120
UTTAR PRADESH,BADAUN,2001,239
UTTAR PRADESH,BALLIA,2001,55
UTTAR PRADESH,BANDA,2001,75
UTTAR PRADESH,BARABANKI,2001,88
UTTAR PRADESH,BAREILLY,2001,272
UTTAR PRADESH,BASTI,2001,48
UTTAR PRADESH,BIJNOR,2001,124
UTTAR PRADESH,BULANDSHAHAR,2001,250
UTTAR PRADESH,CHANDOLI,2001,35
UTTAR PRADESH,DEORIA,2001,48
UTTAR PRADESH,ETAH,2001,240
UTTAR PRADESH,FAIZABAD,2001,77
UTTAR PRADESH,FATEHGARH,2001,120
UTTAR PRADESH,FATEHPUR,2001,132
UTTAR PRADESH,G.R.P.,2001,31
UTTAR PRADESH,GONDA,2001,68
UTTAR PRADESH,HAMIRPUR,2001,66
UTTAR PRADESH,HARDOI,2001,182
UTTAR PRADESH,HATHRAS,2001,86
UTTAR PRADESH,J.P.NAGAR,2001,112
UTTAR PRADESH,JHANSI,2001,76
UTTAR PRADESH,KANPUR DEHAT,2001,85
UTTAR PRADESH,KANPUR NAGAR,2001,210
UTTAR PRADESH,KAUSHAMBI,2001,77
UTTAR PRADESH,KHIRI,2001,172
UTTAR PRADESH,KUSHI NAGAR,2001,69
UTTAR PRADESH,LALITPUR,2001,25
UTTAR PRADESH,MAHOBA,2001,56
UTTAR PRADESH,MAINPURI,2001,136
UTTAR PRADESH,MATHURA,2001,125
UTTAR PRADESH,MAU,2001,49
UTTAR PRADESH,MEERUT,2001,275
UTTAR PRADESH,MORADABAD,2001,213
UTTAR PRADESH,MUZAFFARNAGAR,2001,324
UTTAR PRADESH,PILIBHIT,2001,115
UTTAR PRADESH,PRATAPGARH,2001,76
UTTAR PRADESH,RAIBAREILLY,2001,87
UTTAR PRADESH,RAMPUR,2001,89
UTTAR PRADESH,SAHARANPUR,2001,101
UTTAR PRADESH,SHRAWASTI,2001,35
UTTAR PRADESH,SULTANPUR,2001,103
UTTAR PRADESH,UNNAO,2001,147
UTTARAKHAND,HARIDWAR,2001,94
UTTARAKHAND,PAURI GARHWAL,2001,26
UTTARAKHAND,UTTARKASHI,2001,10
WEST BENGAL,HOWRAH G.R.P.,2001,18
WEST BENGAL,JALPAIGURI,2001,152
WEST BENGAL,MIDNAPUR,2001,120
WEST BENGAL,SEALDAH G.R.P.,2001,23
DAMAN & DIU,DIU,2001,1
DELHI UT,NEW DELHI,2001,11
DELHI UT,SOUTH WEST,2001,61
LAKSHADWEEP,LAKSHADWEEP,2001,1
ANDHRA PRADESH,KRISHNA,2002,92
ANDHRA PRADESH,RANGA REDDY,2002,214
ANDHRA PRADESH,SECUNDERABAD RLY.,2002,12
ARUNACHAL PRADESH,SUBANSIRI LOWER,2002,8
ASSAM,BONGAIGAON,2002,47
ASSAM,DHEMAJI,2002,30
ASSAM,SONITPUR,2002,109
BIHAR,ARWAL,2002,44
BIHAR,BANKA,2002,100
BIHAR,JEHANABAD,2002,73
BIHAR,LAKHISARAI,2002,67
BIHAR,PATNA RLY.,2002,29
GUJARAT,AHMEDABAD COMMR.,2002,222
GUJARAT,AHMEDABAD RURAL,2002,63
GUJARAT,ANAND,2002,48
GUJARAT,BHARUCH,2002,47
GUJARAT,DAHOD,2002,64
GUJARAT,HIMATNAGAR,2002,71
GUJARAT,KHEDA NORTH,2002,56
GUJARAT,MEHSANA,2002,49
GUJARAT,NAVSARI,2002,26
GUJARAT,PANCHMAHAL,2002,83
GUJARAT,PATAN,2002,24
GUJARAT,SURAT RURAL,2002,78
GUJARAT,SURENDRANAGAR,2002,40
GUJARAT,VADODARA COMMR.,2002,56
GUJARAT,W.RLY,2002,21
HIMACHAL PRADESH,CHAMBA,2002,15
HIMACHAL PRADESH,LAHAUL-SPITI,2002,2
JAMMU & KASHMIR,ANANTNAG,2002,86
JAMMU & KASHMIR,DODA,2002,105
JAMMU & KASHMIR,HANDWARA,2002,47
JAMMU & KASHMIR,LEH,2002,6
JAMMU & KASHMIR,RAJOURI,2002,97
JAMMU & KASHMIR,RAMBAN,2002,62
JAMMU & KASHMIR,REASI,2002,45
JAMMU & KASHMIR,SRINAGAR,2002,86
JHARKHAND,RANCHI,2002,270
KARNATAKA,BELLARY,2002,62
KARNATAKA,DHARWAD RURAL,2002,35
KARNATAKA,RAICHUR,2002,59
KERALA,PATHANAMTHITTA,2002,28
KERALA,THRISSUR,2002,52
KERALA,TRIVANDRUM,2002,58
MADHYA PRADESH,BHOPAL RLY.,2002,7
MADHYA PRADESH,NARSINGHPUR,2002,48
MADHYA PRADESH,REWA,2002,68
MADHYA PRADESH,UMARIYA,2002,28
MAHARASHTRA,BHANDARA,2002,36
MAHARASHTRA,GONDIA,2002,44
MAHARASHTRA,RATNAGIRI,2002,26
MAHARASHTRA,SANGLI,2002,97
MAHARASHTRA,SATARA,2002,83
MAHARASHTRA,SINDHUDURG,2002,18
MEGHALAYA,RI-BHOI,2002,27
MIZORAM,CHAMPHAI,2002,6
MIZORAM,SERCHHIP,2002,6
ODISHA,BERHAMPUR,2002,30
ODISHA,SUNDARGARH,2002,87
PUNJAB,ROPAR,2002,27
PUNJAB,TARN TARAN,2002,51
RAJASTHAN,BANSWARA,2002,40
RAJASTHAN,HANUMANGARH,2002,65
TAMIL NADU,CHENNAI RLY.,2002,10
TAMIL NADU,DHARMAPURI,2002,94
TAMIL NADU,KARUR,2002,29
TAMIL NADU,NILGIRIS,2002,21
TAMIL NADU,PERAMBALUR,2002,41
TAMIL NADU,THIRUNELVELI URBAN,2002,23
UTTAR PRADESH,AMBEDKAR NAGAR,2002,55
UTTAR PRADESH,AURAIYA,2002,56
UTTAR PRADESH,BAGHPAT,2002,95
UTTAR PRADESH,BAHRAICH,2002,59
UTTAR PRADESH,BANDA,2002,75
UTTAR PRADESH,ETAWAH,2002,85
UTTAR PRADESH,FIROZABAD,2002,138
UTTAR PRADESH,GORAKHPUR,2002,112
UTTAR PRADESH,KANNAUJ,2002,67
UTTAR PRADESH,MAHARAJGANJ,2002,46
UTTAR PRADESH,SANT KABIRNAGAR,2002,22
UTTAR PRADESH,SHAHJAHANPUR,2002,210
UTTAR PRADESH,SITAPUR,2002,167
UTTAR PRADESH,ST.RAVIDASNAGAR,2002,29
UTTARAKHAND,CHAMOLI,2002,15
WEST BENGAL,DARJEELING,2002,63
CHANDIGARH,CHANDIGARH,2002,31
DAMAN & DIU,DIU,2002,1
DELHI UT,I.G.I. AIRPORT,2002,4
DELHI UT,NORTH EAST,2002,66
DELHI UT,NORTH WEST,2002,135
DELHI UT,SPL CELL,2002,0
ANDHRA PRADESH,GUNTUR,2003,210
ANDHRA PRADESH,NALGONDA,2003,142
ARUNACHAL PRADESH,KAMENG WEST,2003,7
ASSAM,DARRANG,2003,73
BIHAR,BEGUSARAI,2003,145
BIHAR,BHABHUA,2003,76
BIHAR,GAYA,2003,230
BIHAR,NAWADAH,2003,88
BIHAR,ROHTAS,2003,157
BIHAR,SAMASTIPUR,2003,136
GUJARAT,NAVSARI,2003,26
HIMACHAL PRADESH,KANGRA,2003,38
JAMMU & KASHMIR,BORDER,2003,8
JAMMU & KASHMIR,JAMMU,2003,34
JAMMU & KASHMIR,POONCH,2003,111
JAMMU & KASHMIR,PULWAMA,2003,70
KERALA,KASARGOD,2003,24
KERALA,KOZHIKODE COMMR.,2003,14
KERALA,PALAKKAD,2003,52
KERALA,WAYANADU,2003,21
MADHYA PRADESH,SHAHDOL,2003,60
MAHARASHTRA,KOLHAPUR,2003,66
MAHARASHTRA,NASIK RURAL,2003,110
MAHARASHTRA,SOLAPUR RURAL,2003,112
MEGHALAYA,GARO HILLS WEST,2003,24
MEGHALAYA,JAINTIA HILLS,2003,52
MIZORAM,CHAMPHAI,2003,6
MIZORAM,SAIHA,2003,6
ODISHA,KHURDA,2003,65
PUNJAB,BATALA,2003,34
PUNJAB,FEROZEPUR,2003,51
RAJASTHAN,JAIPUR,2003,92
TAMIL NADU,CHENGAI,2003,84
TAMIL NADU,VELLORE,2003,87
TRIPURA,DHALAI,2003,40
TRIPURA,WEST,2003,136
UTTARAKHAND,BAGESHWAR,2003,11
UTTARAKHAND,CHAMPAWAT,2003,7
A & N ISLANDS,ANDAMAN,2003,16
A & N ISLANDS,NICOBAR,2003,5
DELHI UT,SOUTH,2003,86
