STATE/UT,YEAR,Population (Million) ,Literacy rates,Area(km²),MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Total Crimes In the state
ANDHRA PRADESH,2011,84.67,67.02%,162975,2808,2229,1442,2154,1612,542,126,600,8300,28267,8966,19301,2210,1174,9748,1021,54452,599,4849,13973,38392,189780,392545
ARUNACHAL PRADESH,2011,1.38,65.38%,83743,65,29,42,93,60,33,13,64,183,414,152,262,49,54,74,34,379,0,51,98,622,2286,5057
ASSAM,2011,31.21,72.19%,78438,1303,504,1700,3764,3192,572,305,837,3327,8309,585,7724,2328,920,1495,506,6306,121,1193,2915,25513,66714,140133
BIHAR,2011,104.1,61.80%,94163,3198,3327,934,4268,3050,1218,556,1381,3629,16292,5041,11251,9768,1741,3776,705,19391,1413,790,5877,55705,135896,289207
CHHATTISGARH,2011,25.54,70.28%,135192,1110,747,1053,472,365,107,68,470,3548,5315,2292,3023,934,180,980,289,11105,104,1654,2856,25223,57218,119113
GOA,2011,1.46,88.70%,3702,48,22,29,28,17,11,2,26,318,1115,463,652,74,45,142,24,215,1,29,263,1001,3449,7974
GUJARAT,2011,60.38,78.03%,196024,1126,478,439,1614,1442,172,221,1368,4509,16043,8934,7109,1615,1339,1399,263,10159,30,685,5827,69788,123371,257931
HARYANA,2011,25.35,75.55%,44212,1062,851,733,959,733,226,167,638,5011,17425,12541,4884,1466,812,1761,166,3423,255,474,1505,20549,60741,136382
HIMACHAL PRADESH,2011,6.86,82.80%,55673,130,50,168,212,191,21,1,10,995,1042,356,686,530,143,359,110,1251,4,331,563,8102,14312,29567
JAMMU & KASHMIR,2011,12.55,67.16%,42241,169,494,277,1077,1023,54,14,88,1516,2655,930,1725,1405,195,612,205,246,11,1194,385,13257,24504,52036
JHARKHAND,2011,32.97,66.41%,79716,1747,718,784,941,660,281,309,614,1235,6378,1872,4506,2133,447,907,138,4403,282,317,1728,11940,35838,78178
KARNATAKA,2011,61.13,75.36%,191791,1820,1837,636,1395,715,680,214,2123,6136,19834,10226,9608,7265,440,5850,231,21295,267,2608,750,60505,137600,292035
KERALA,2011,33.39,94%,38863,365,521,1132,299,221,78,71,741,3001,4704,1454,3250,10754,340,5155,450,21747,15,3756,65,112665,172137,342921
MADHYA PRADESH,2011,72.62,69.32%,308252,2511,2340,3406,1288,1088,200,118,1952,10230,22414,11595,10819,2080,557,1860,784,35711,811,6665,7478,112082,217094,453083
MAHARASHTRA,2011,112.37,82.34%,307713,2818,2105,1701,1669,1252,417,773,4249,16313,53449,19270,34179,8556,1883,9098,1255,29769,339,3794,13024,45114,204902,455929
MANIPUR,2011,2.57,76.94%,22327,78,245,53,169,116,53,1,7,52,719,553,166,70,42,126,99,292,1,38,2,1015,3218,7115
MEGHALAYA,2011,2.97,74.43%,22429,170,51,130,87,37,50,49,63,145,696,190,506,8,52,166,34,197,1,74,90,701,2755,6252
MIZORAM,2011,1.09,91.33%,21081,26,24,77,6,0,6,1,6,336,734,39,695,0,21,66,19,97,0,72,37,279,1821,4362
NAGALAND,2011,1.98,79.55%,16579,46,43,23,34,3,31,7,59,73,360,85,275,1,16,31,2,55,0,9,15,292,1083,2543
ODISHA,2011,41.97,72.87%,155707,1477,1621,1112,1139,1008,131,417,1583,3031,8724,2986,5738,1556,250,1391,423,7894,465,3207,3778,20509,61277,129717
PUNJAB,2011,27.7,75.84%,50362,842,997,479,681,517,164,28,236,2488,4784,2107,2677,0,281,3571,83,4757,143,282,3576,10175,34883,73751
RAJASTHAN,2011,68.55,66.11%,342239,1461,1566,1800,3204,2713,491,28,727,4510,21099,12566,8533,751,741,17497,473,17977,514,2447,8122,70250,165622,343092
SIKKIM,2011,0.61,81.42%,7096,14,7,16,10,10,0,0,5,60,72,8,64,25,4,31,4,75,0,24,57,177,596,1259
TAMIL NADU,2011,72.15,80.09%,130058,1877,2962,677,1984,1743,241,101,2066,4848,13924,4911,9013,3009,238,3872,706,21167,152,1467,16076,115163,192879,399076
TRIPURA,2011,3.67,87.22%,10491,163,75,205,154,116,38,11,50,227,494,59,435,175,54,99,58,1340,30,294,14,1640,5803,11534
UTTAR PRADESH,2011,199.81,67.68%,240928,4951,4653,2042,8500,7525,975,379,3148,5765,36683,21363,15320,5022,3721,9941,477,12234,2322,3455,14380,68575,195135,426566
UTTARAKHAND,2011,10.12,78.82%,53483,178,189,129,314,283,31,13,179,342,2093,840,1253,401,115,519,17,852,83,116,696,2078,8774,19495
WEST BENGAL,2011,91.35,76.36%,88752,2109,2242,2363,4285,3711,574,236,760,455,21446,4642,16804,6019,1264,4171,413,13094,510,2363,3249,56614,143197,290521
